키워드,총조회수
힙합,"13,690"
동물의숲,"62,780"
꼰대,"18,430"
심슨,"21,110"
독도,"72,500"
초코파이,"24,240"
스폰지밥,"36,540"
제시,"170,300"
악동뮤지션,"31,140"
인생네컷,"192,700"
펩시 제로,"31,620"
싸이,"748,300"
yg엔터테인먼트,"165,100"
sm엔터테인먼트,"165,200"
월드컵,"90,500"
코카콜라,"103,900"
나무위키,"5,159,600"
엘지,"43,970"
삼성,"261,900"
왕십리,"27,980"
BTS,"598,000"
서유기,"8,430"
2022 카타르 월드컵,"179,900"
워터밤 2022,"295,900"
비트코인,"2,115,300"
효도,"9,630"
똥,"28,500"
쿠키런 킹덤,"103,300"
트위치,"782,500"
메이플스토리,"294,900"
소닉,"51,550"
닥터스트레인지2,"355,800"
범죄도시2,"6,796,400"
김가람,"1,266,200"
제니,"173,700"
포켓몬빵,"2,376,300"
빌게이츠,"67,400"
깻잎논쟁,"53,830"
코로나,"2,891,600"
전투기,"8,580"
더 많이 더 적게,"4,560"
초음파,"10,160"
사랑,"47,540"
오리온,"86,400"
파이썬,"55,000"
라라랜드,"69,790"
크루엘라,"43,500"
계란,"42,690"
스티커,"52,400"
진주,"100,100"
뼈해장국,"46,190"
인공지능,"47,800"
빅데이터,"38,700"
주식,"711,600"
신서유기,"42,740"
